Property ID,Building Type,Year Built,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
Th50007808,Apartment,2000,2022-04-08,1,17505,1023,2 out of 4,Carpet Area,Area 419,Hyderabad,Furnished,Bachelors,2,Contact Owner
Th50007809,Apartment,2020,2022-07-03,3,6237,580,4 out of 14,Plot Area,Area 780,Ludhiana,Semi-Furnished,Family,2,Contact Owner
Th50007810,Apartment,2014,2022-06-07,2,14866,865,7 out of 4,Carpet Area,Area 471,Visakhapatnam,Semi-Furnished,Bachelors/Family,3,Contact Agent
Th50007811,Apartment,2014,2022-05-26,2,14450,931,5 out of 20,Built Area,Area 177,Bhopal,Unfurnished,Family,3,Contact Owner
Th50007812,Apartment,2014,2022-04-15,2,20019,1059,8 out of 12,Built Area,Area 270,Noida,Semi-Furnished,Bachelors/Family,1,Contact Agent
Th50007813,Apartment,2017,2022-06-21,1,12643,1223,1 out of 19,Built Area,Area 498,Indore,Unfurnished,Bachelors,1,Contact Agent
Th50007814,Apartment,2021,2022-05-22,1,13282,1209,2 out of 3,Built Area,Area 528,Meerut,Unfurnished,Bachelors/Family,3,Contact Owner
Th50007815,Apartment,2008,2022-06-07,2,20549,1281,3 out of 20,Carpet Area,Area 918,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
Th50007816,Apartment,2004,2022-04-19,3,8418,623,7 out of 19,Built Area,Area 684,Indore,Semi-Furnished,Bachelors/Family,2,Contact Owner
Th50007817,Apartment,1990,2022-06-25,3,10659,980,5 out of 9,Super Area,Area 893,Nashik,Furnished,Bachelors/Family,3,Contact Agent
Th50007818,Apartment,2003,2022-05-03,3,9620,1391,3 out of 5,Built Area,Area 265,Varanasi,Unfurnished,Bachelors/Family,2,Contact Agent
Th50007819,Apartment,1990,2022-06-30,3,16906,1074,5 out of 14,Plot Area,Area 574,Mysore,Furnished,Family,3,Contact Agent
Th50007820,Apartment,1999,2022-06-25,1,8424,1256,2 out of 17,Built Area,Area 577,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
Th50007821,Apartment,2008,2022-04-14,1,6727,1205,5 out of 13,Carpet Area,Area 281,Mangalore,Unfurnished,Family,3,Contact Owner
Th50007822,Apartment,2010,2022-04-02,2,15032,1007,7 out of 9,Super Area,Area 768,Navi Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
Th50007823,Apartment,2008,2022-04-15,1,6291,1225,1 out of 6,Plot Area,Area 699,Kolkata,Unfurnished,Family,1,Contact Agent
Th50007824,Apartment,2009,2022-05-24,1,6166,803,2 out of 20,Super Area,Area 214,Agra,Semi-Furnished,Bachelors/Family,1,Contact Agent
Th50007825,Apartment,2000,2022-06-30,1,6067,516,2 out of 14,Super Area,Area 298,Bangalore,Furnished,Family,1,Contact Owner
Th50007826,Apartment,2016,2022-04-01,2,6691,682,5 out of 6,Plot Area,Area 412,Vadodara,Unfurnished,Bachelors/Family,1,Contact Owner
Th50007827,Apartment,2008,2022-05-03,1,17835,1047,6 out of 13,Built Area,Area 461,Lucknow,Furnished,Bachelors/Family,3,Contact Agent
Th50007828,Apartment,1993,2022-06-17,3,24145,1208,10 out of 7,Plot Area,Area 409,Navi Mumbai,Unfurnished,Bachelors,3,Contact Owner
Th50007829,Apartment,2010,2022-05-02,3,9595,809,6 out of 6,Plot Area,Area 810,Lucknow,Semi-Furnished,Bachelors/Family,3,Contact Owner
Th50007830,Apartment,2021,2022-06-15,3,9678,1098,10 out of 20,Plot Area,Area 366,Aurangabad,Semi-Furnished,Family,3,Contact Owner
Th50007831,Apartment,2019,2022-06-22,3,8576,757,5 out of 8,Carpet Area,Area 886,Mumbai,Semi-Furnished,Family,2,Contact Owner
Th50007832,Apartment,2015,2022-05-16,1,10373,673,6 out of 14,Carpet Area,Area 673,Bhopal,Furnished,Bachelors/Family,1,Contact Owner
Th50007833,Apartment,2021,2022-04-13,3,15957,1032,1 out of 13,Carpet Area,Area 544,Bhopal,Semi-Furnished,Family,1,Contact Owner
Th50007834,Apartment,2006,2022-04-18,3,3137,550,1 out of 12,Super Area,Area 649,Ludhiana,Unfurnished,Bachelors/Family,3,Contact Agent
Th50007835,Apartment,2000,2022-06-04,1,10174,622,6 out of 19,Carpet Area,Area 551,Thane,Semi-Furnished,Family,3,Contact Agent
Th50007836,Apartment,2017,2022-06-09,1,9463,992,9 out of 5,Plot Area,Area 975,Meerut,Furnished,Family,1,Contact Owner
Th50007837,Apartment,2021,2022-04-25,1,5830,564,10 out of 13,Plot Area,Area 219,Mysore,Semi-Furnished,Family,2,Contact Agent
Th50007838,Apartment,2002,2022-06-02,3,7681,1380,3 out of 11,Built Area,Area 370,Thane,Unfurnished,Bachelors/Family,1,Contact Owner
Th50007839,Apartment,1995,2022-05-15,1,10683,825,8 out of 14,Plot Area,Area 499,Kanpur,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50007840,Apartment,2010,2022-05-18,1,18037,1276,7 out of 9,Built Area,Area 140,Varanasi,Unfurnished,Bachelors/Family,2,Contact Agent
Th50007841,Apartment,2010,2022-04-18,1,15201,1045,2 out of 11,Carpet Area,Area 783,Patna,Unfurnished,Bachelors,3,Contact Owner
Th50007842,Apartment,2002,2022-06-01,1,4705,772,9 out of 11,Carpet Area,Area 109,Ahmedabad,Furnished,Bachelors,3,Contact Owner
Th50007843,Apartment,2019,2022-06-28,2,7832,1013,7 out of 11,Built Area,Area 356,Visakhapatnam,Semi-Furnished,Family,2,Contact Owner
Th50007844,Apartment,2015,2022-05-21,3,5180,517,5 out of 15,Super Area,Area 571,Kanpur,Unfurnished,Family,2,Contact Agent
Th50007845,Apartment,2000,2022-06-05,1,9397,747,7 out of 14,Super Area,Area 929,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent
Th50007846,Apartment,2008,2022-05-14,1,22188,1171,8 out of 10,Built Area,Area 819,Nagpur,Furnished,Family,3,Contact Agent
Th50007847,Apartment,2000,2022-04-13,3,17363,1119,10 out of 19,Plot Area,Area 159,Chennai,Semi-Furnished,Family,3,Contact Owner
Th50007848,Apartment,2012,2022-05-11,1,12747,978,4 out of 3,Plot Area,Area 648,Lucknow,Unfurnished,Family,3,Contact Agent
Th50007849,Apartment,2000,2022-05-14,3,20765,1120,4 out of 19,Plot Area,Area 935,Bangalore,Furnished,Family,3,Contact Owner
Th50007850,Apartment,2008,2022-06-16,2,4424,636,7 out of 7,Built Area,Area 848,Mumbai,Unfurnished,Family,2,Contact Agent
Th50007851,Apartment,2021,2022-05-22,3,9972,1230,8 out of 10,Carpet Area,Area 850,Varanasi,Unfurnished,Family,1,Contact Agent
Th50007852,Apartment,1995,2022-06-11,1,7713,1186,3 out of 8,Super Area,Area 761,Kanpur,Furnished,Bachelors,1,Contact Owner
Th50007853,Apartment,2007,2022-04-18,2,8111,1255,10 out of 11,Built Area,Area 639,Patna,Furnished,Bachelors,1,Contact Agent
Th50007854,Apartment,1995,2022-05-02,1,15204,843,1 out of 18,Carpet Area,Area 261,Ahmedabad,Semi-Furnished,Family,3,Contact Agent
Th50007855,Apartment,1995,2022-05-05,1,13185,1293,8 out of 19,Carpet Area,Area 391,Pune,Furnished,Bachelors/Family,3,Contact Owner
Th50007856,Apartment,2014,2022-05-11,1,5820,913,9 out of 14,Plot Area,Area 543,Mangalore,Semi-Furnished,Family,3,Contact Agent
Th50007857,Apartment,2006,2022-04-25,2,11405,922,9 out of 13,Built Area,Area 955,Vijayawada,Unfurnished,Bachelors/Family,3,Contact Agent
Th50007858,Apartment,2019,2022-07-04,2,18285,951,4 out of 13,Built Area,Area 707,Ranchi,Furnished,Bachelors,3,Contact Owner
Th50007859,Apartment,2009,2022-07-09,1,15632,944,9 out of 6,Carpet Area,Area 677,Kanpur,Semi-Furnished,Bachelors/Family,3,Contact Agent
Th50007860,Apartment,2018,2022-04-08,2,17063,907,5 out of 17,Plot Area,Area 569,Agra,Unfurnished,Bachelors/Family,3,Contact Agent
Th50007861,Apartment,1996,2022-04-26,1,11849,784,10 out of 17,Super Area,Area 892,Nagpur,Unfurnished,Bachelors/Family,1,Contact Owner
Th50007862,Apartment,2001,2022-05-04,3,8814,1045,3 out of 3,Plot Area,Area 963,Ludhiana,Semi-Furnished,Bachelors,2,Contact Owner
Th50007863,Apartment,2018,2022-07-09,2,9863,748,8 out of 19,Super Area,Area 546,Visakhapatnam,Unfurnished,Bachelors,1,Contact Agent
Th50007864,Apartment,1991,2022-06-04,1,11498,1111,8 out of 19,Plot Area,Area 171,Indore,Unfurnished,Family,2,Contact Owner
Th50007865,Apartment,1992,2022-05-06,1,5782,829,6 out of 19,Carpet Area,Area 737,Coimbatore,Unfurnished,Bachelors,3,Contact Agent
Th50007866,Apartment,2014,2022-05-10,1,10875,783,8 out of 6,Carpet Area,Area 395,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50007867,Apartment,2002,2022-06-12,3,6623,571,5 out of 15,Carpet Area,Area 228,Varanasi,Semi-Furnished,Bachelors/Family,3,Contact Owner
Th50007868,Apartment,1999,2022-06-09,2,6285,824,10 out of 12,Plot Area,Area 333,Surat,Furnished,Bachelors/Family,1,Contact Owner
Th50007869,Apartment,2019,2022-04-12,1,7449,599,4 out of 10,Built Area,Area 488,Mangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
Th50007870,Apartment,2006,2022-05-01,3,6971,1099,3 out of 6,Carpet Area,Area 227,Kolkata,Semi-Furnished,Family,1,Contact Owner
Th50007871,Apartment,2007,2022-06-16,1,3954,756,1 out of 19,Carpet Area,Area 952,Indore,Semi-Furnished,Bachelors/Family,2,Contact Agent
Th50007872,Apartment,1990,2022-04-09,3,7714,677,6 out of 11,Super Area,Area 390,Thane,Semi-Furnished,Family,2,Contact Agent
Th50007873,Apartment,2004,2022-06-28,1,5370,525,5 out of 20,Built Area,Area 518,Pune,Semi-Furnished,Family,2,Contact Agent
Th50007874,Apartment,1996,2022-04-20,2,15769,929,9 out of 15,Super Area,Area 927,Nashik,Semi-Furnished,Bachelors/Family,2,Contact Agent
Th50007875,Apartment,2015,2022-05-02,3,24538,1345,7 out of 18,Built Area,Area 893,Mangalore,Unfurnished,Family,3,Contact Agent
Th50007876,Apartment,2002,2022-06-01,1,3695,592,8 out of 18,Carpet Area,Area 904,Chandigarh,Furnished,Bachelors,2,Contact Owner
Th50007877,Apartment,2000,2022-05-01,1,5698,616,2 out of 7,Carpet Area,Area 672,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Agent
Th50007878,Apartment,2006,2022-05-10,3,8487,547,5 out of 18,Carpet Area,Area 142,Vadodara,Furnished,Bachelors,2,Contact Agent
Th50007879,Apartment,1997,2022-04-13,2,12868,1222,5 out of 19,Built Area,Area 815,Faridabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
Th50007880,Apartment,1996,2022-04-03,2,8295,965,10 out of 4,Plot Area,Area 166,Pune,Semi-Furnished,Bachelors/Family,2,Contact Agent
Th50007881,Apartment,1991,2022-05-22,2,5093,731,8 out of 18,Built Area,Area 298,Hyderabad,Unfurnished,Family,2,Contact Owner
Th50007882,Apartment,2020,2022-07-05,2,8943,1337,9 out of 17,Plot Area,Area 234,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
Th50007883,Apartment,1998,2022-06-08,1,16961,1027,9 out of 9,Built Area,Area 579,Jaipur,Unfurnished,Bachelors/Family,3,Contact Agent
Th50007884,Apartment,2017,2022-04-18,2,19208,1023,9 out of 16,Plot Area,Area 533,Hyderabad,Furnished,Bachelors/Family,2,Contact Agent
Th50007885,Apartment,1991,2022-05-25,3,12812,1101,5 out of 16,Plot Area,Area 296,Hyderabad,Semi-Furnished,Family,3,Contact Owner
Th50007886,Apartment,2005,2022-04-10,3,8040,872,8 out of 13,Built Area,Area 556,Rajkot,Unfurnished,Bachelors,2,Contact Owner
Th50007887,Apartment,2013,2022-04-14,3,26922,1356,3 out of 10,Built Area,Area 270,Aurangabad,Unfurnished,Family,2,Contact Owner
Th50007888,Apartment,2006,2022-04-08,3,18770,1238,2 out of 6,Plot Area,Area 457,Aurangabad,Unfurnished,Family,2,Contact Agent
Th50007889,Apartment,2010,2022-05-01,3,10367,568,10 out of 4,Carpet Area,Area 241,Amritsar,Unfurnished,Family,2,Contact Agent
Th50007890,Apartment,1991,2022-04-01,1,10505,1373,2 out of 10,Super Area,Area 426,Kolkata,Semi-Furnished,Family,1,Contact Owner
Th50007891,Apartment,1996,2022-04-14,3,18622,1386,5 out of 20,Super Area,Area 613,Faridabad,Furnished,Family,2,Contact Agent
Th50007892,Apartment,2009,2022-04-11,2,12141,908,1 out of 5,Super Area,Area 389,Agra,Semi-Furnished,Bachelors/Family,1,Contact Agent
Th50007893,Apartment,1992,2022-06-27,1,11024,703,5 out of 18,Plot Area,Area 960,Noida,Furnished,Bachelors/Family,2,Contact Owner
Th50007894,Apartment,2015,2022-04-11,3,12660,1100,6 out of 3,Built Area,Area 741,Faridabad,Furnished,Family,1,Contact Owner
Th50007895,Apartment,1997,2022-06-19,1,2711,506,10 out of 10,Built Area,Area 203,Gwalior,Furnished,Bachelors/Family,3,Contact Owner
Th50007896,Apartment,2020,2022-05-06,3,8295,793,1 out of 18,Super Area,Area 876,Surat,Semi-Furnished,Family,1,Contact Agent
Th50007897,Apartment,2021,2022-06-06,1,12032,1037,9 out of 10,Super Area,Area 543,Jodhpur,Semi-Furnished,Bachelors/Family,3,Contact Agent
Th50007898,Apartment,2009,2022-04-10,1,8601,653,8 out of 6,Built Area,Area 414,Chandigarh,Semi-Furnished,Family,1,Contact Agent
Th50007899,Apartment,2019,2022-05-17,1,13363,877,4 out of 12,Super Area,Area 283,Ludhiana,Semi-Furnished,Family,1,Contact Agent
Th50007900,Apartment,2006,2022-04-25,1,8072,612,10 out of 9,Carpet Area,Area 311,Ranchi,Unfurnished,Family,2,Contact Agent
Th50007901,Apartment,2013,2022-04-27,3,7205,948,2 out of 7,Plot Area,Area 240,Coimbatore,Semi-Furnished,Family,1,Contact Owner
Th50007902,Apartment,2006,2022-07-06,3,4563,641,4 out of 14,Super Area,Area 140,Thane,Semi-Furnished,Family,2,Contact Owner
Th50007903,Apartment,2021,2022-05-23,2,4672,615,3 out of 12,Carpet Area,Area 614,Jaipur,Furnished,Family,2,Contact Agent
Th50007904,Apartment,1990,2022-04-28,3,17790,1303,5 out of 15,Plot Area,Area 835,Rajkot,Semi-Furnished,Family,2,Contact Owner
Th50007905,Apartment,1994,2022-06-07,3,6360,1009,2 out of 18,Super Area,Area 288,Thane,Semi-Furnished,Family,3,Contact Agent
Th50007906,Apartment,2002,2022-06-23,3,11576,1258,8 out of 13,Built Area,Area 646,Navi Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
Th50007907,Apartment,2018,2022-06-27,1,6721,744,1 out of 6,Carpet Area,Area 538,Chennai,Semi-Furnished,Family,2,Contact Owner
Th50007908,Apartment,2021,2022-04-24,2,13024,694,5 out of 6,Plot Area,Area 961,Kanpur,Unfurnished,Bachelors,3,Contact Owner
Th50007909,Apartment,1998,2022-05-14,3,13767,981,1 out of 13,Built Area,Area 919,Nashik,Furnished,Bachelors/Family,2,Contact Owner
Th50007910,Apartment,2015,2022-05-15,2,14410,922,2 out of 3,Carpet Area,Area 782,Vadodara,Furnished,Bachelors/Family,3,Contact Agent
Th50007911,Apartment,2010,2022-05-20,3,11104,1037,7 out of 19,Carpet Area,Area 243,Aurangabad,Unfurnished,Bachelors,2,Contact Agent
Th50007912,Apartment,2001,2022-06-26,2,4594,716,1 out of 16,Super Area,Area 653,Chandigarh,Unfurnished,Bachelors/Family,3,Contact Agent
Th50007913,Apartment,2020,2022-04-06,1,14789,1261,6 out of 12,Plot Area,Area 255,Vadodara,Furnished,Bachelors/Family,3,Contact Owner
Th50007914,Apartment,2010,2022-07-06,3,10491,1293,5 out of 6,Plot Area,Area 675,Agra,Unfurnished,Bachelors,1,Contact Agent
Th50007915,Apartment,2014,2022-05-11,2,22262,1186,3 out of 5,Plot Area,Area 608,Ludhiana,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50007916,Apartment,2010,2022-05-18,1,3801,693,7 out of 13,Carpet Area,Area 427,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50007917,Apartment,2019,2022-05-22,2,6864,647,7 out of 6,Plot Area,Area 471,Bangalore,Unfurnished,Bachelors/Family,3,Contact Agent
Th50007918,Apartment,2017,2022-06-21,1,12933,910,7 out of 15,Built Area,Area 830,Gwalior,Furnished,Family,2,Contact Owner
Th50007919,Apartment,2016,2022-04-18,1,8523,874,3 out of 18,Built Area,Area 289,Indore,Unfurnished,Family,1,Contact Owner
Th50007920,Apartment,2018,2022-06-02,2,24521,1246,10 out of 7,Super Area,Area 693,Kolkata,Furnished,Family,2,Contact Agent
Th50007921,Apartment,2000,2022-05-10,1,12182,668,2 out of 16,Plot Area,Area 994,Meerut,Furnished,Bachelors,2,Contact Agent
Th50007922,Apartment,2012,2022-06-20,3,6780,646,8 out of 15,Built Area,Area 242,Rajkot,Semi-Furnished,Bachelors,2,Contact Owner
Th50007923,Apartment,2010,2022-05-19,3,13433,681,10 out of 10,Carpet Area,Area 912,Kolkata,Unfurnished,Family,2,Contact Agent
Th50007924,Apartment,2003,2022-04-23,1,20689,1337,6 out of 9,Carpet Area,Area 889,Jodhpur,Semi-Furnished,Family,1,Contact Owner
Th50007925,Apartment,2016,2022-05-30,1,21651,1259,4 out of 14,Built Area,Area 188,Kanpur,Furnished,Bachelors/Family,3,Contact Owner
Th50007926,Apartment,2018,2022-07-08,2,9873,545,2 out of 16,Built Area,Area 272,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner
Th50007927,Apartment,2017,2022-04-25,2,15858,913,4 out of 3,Built Area,Area 391,Ahmedabad,Furnished,Bachelors,3,Contact Owner
Th50007928,Apartment,2018,2022-04-17,3,5832,872,2 out of 19,Built Area,Area 891,Chandigarh,Unfurnished,Family,1,Contact Agent
Th50007929,Apartment,2020,2022-06-11,1,7673,519,2 out of 7,Built Area,Area 585,Nagpur,Furnished,Bachelors,1,Contact Owner
Th50007930,Apartment,1999,2022-07-02,2,9656,760,1 out of 20,Super Area,Area 659,Jodhpur,Unfurnished,Family,1,Contact Owner
Th50007931,Apartment,1996,2022-06-22,3,10869,1094,2 out of 16,Built Area,Area 984,Ranchi,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50007932,Apartment,1991,2022-04-06,2,13063,682,4 out of 15,Carpet Area,Area 108,Bangalore,Unfurnished,Family,1,Contact Agent
Th50007933,Apartment,1999,2022-06-28,2,13085,781,4 out of 16,Plot Area,Area 129,Ludhiana,Unfurnished,Bachelors,3,Contact Owner
Th50007934,Apartment,1999,2022-04-13,3,6883,1173,1 out of 18,Plot Area,Area 261,Vadodara,Furnished,Bachelors/Family,2,Contact Owner
Th50007935,Apartment,2016,2022-05-30,2,18009,1334,6 out of 10,Built Area,Area 759,Aurangabad,Semi-Furnished,Bachelors/Family,1,Contact Agent
Th50007936,Apartment,2017,2022-06-12,3,15372,1390,1 out of 19,Super Area,Area 284,Rajkot,Unfurnished,Bachelors,2,Contact Owner
Th50007937,Apartment,1998,2022-07-05,3,4001,598,8 out of 18,Built Area,Area 674,Vijayawada,Unfurnished,Bachelors,2,Contact Owner
Th50007938,Apartment,2008,2022-07-01,3,13970,1163,4 out of 20,Built Area,Area 807,Jodhpur,Furnished,Bachelors/Family,3,Contact Owner
Th50007939,Apartment,1990,2022-05-25,1,4127,511,8 out of 15,Super Area,Area 306,Bhopal,Semi-Furnished,Bachelors/Family,2,Contact Agent
Th50007940,Apartment,2007,2022-04-11,1,26099,1370,7 out of 9,Carpet Area,Area 331,Jaipur,Furnished,Bachelors,1,Contact Owner
Th50007941,Apartment,2019,2022-06-30,2,12192,779,3 out of 17,Built Area,Area 242,Vijayawada,Semi-Furnished,Bachelors,3,Contact Agent
Th50007942,Apartment,2007,2022-04-29,3,8444,651,8 out of 10,Super Area,Area 701,Ranchi,Unfurnished,Family,2,Contact Owner
Th50007943,Apartment,2019,2022-05-19,2,6638,774,1 out of 16,Plot Area,Area 665,Jodhpur,Semi-Furnished,Bachelors,1,Contact Agent
Th50007944,Apartment,1997,2022-05-29,1,10750,617,10 out of 13,Carpet Area,Area 845,Noida,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50007945,Apartment,2012,2022-06-13,2,6509,1056,7 out of 17,Super Area,Area 964,Kalyan-Dombivli,Furnished,Family,3,Contact Owner
Th50007946,Apartment,2019,2022-04-02,2,11052,1369,10 out of 19,Super Area,Area 907,Ludhiana,Furnished,Bachelors,2,Contact Agent
Th50007947,Apartment,2015,2022-05-25,2,6983,1083,4 out of 11,Carpet Area,Area 364,Lucknow,Semi-Furnished,Bachelors,3,Contact Agent
Th50007948,Apartment,1999,2022-05-28,1,11747,1341,6 out of 19,Plot Area,Area 805,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
Th50007949,Apartment,2003,2022-07-10,2,13232,684,4 out of 6,Super Area,Area 156,Pune,Furnished,Bachelors,2,Contact Agent
Th50007950,Apartment,2000,2022-06-14,2,7329,1142,9 out of 13,Built Area,Area 113,Kalyan-Dombivli,Furnished,Bachelors/Family,1,Contact Owner
Th50007951,Apartment,2015,2022-05-22,1,12831,860,5 out of 15,Super Area,Area 681,Kalyan-Dombivli,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50007952,Apartment,2007,2022-04-06,2,13441,894,9 out of 6,Super Area,Area 720,Delhi,Unfurnished,Family,2,Contact Agent
Th50007953,Apartment,2014,2022-04-04,3,18154,1321,2 out of 12,Plot Area,Area 433,Nagpur,Unfurnished,Bachelors/Family,1,Contact Owner
Th50007954,Apartment,2001,2022-05-11,1,14292,1115,5 out of 18,Plot Area,Area 701,Agra,Semi-Furnished,Bachelors,2,Contact Agent
Th50007955,Apartment,1991,2022-04-27,3,19189,1381,8 out of 7,Super Area,Area 867,Vijayawada,Unfurnished,Bachelors/Family,1,Contact Owner
Th50007956,Apartment,2019,2022-04-10,2,8840,843,3 out of 20,Carpet Area,Area 724,Mangalore,Furnished,Family,2,Contact Owner
Th50007957,Apartment,2011,2022-06-30,3,18667,984,9 out of 12,Carpet Area,Area 619,Vadodara,Semi-Furnished,Family,1,Contact Agent
Th50007958,Apartment,2004,2022-04-26,2,13897,1068,6 out of 4,Plot Area,Area 520,Meerut,Semi-Furnished,Bachelors,1,Contact Owner
Th50007959,Apartment,1992,2022-04-24,2,6856,620,2 out of 6,Built Area,Area 793,Amritsar,Unfurnished,Bachelors,1,Contact Owner
Th50007960,Apartment,2009,2022-06-22,1,12228,865,3 out of 13,Carpet Area,Area 513,Coimbatore,Furnished,Family,2,Contact Owner
Th50007961,Apartment,2020,2022-06-21,1,6288,1092,4 out of 8,Super Area,Area 860,Thane,Furnished,Bachelors/Family,2,Contact Agent
Th50007962,Apartment,2016,2022-05-07,1,11672,1277,6 out of 9,Built Area,Area 176,Amritsar,Furnished,Family,1,Contact Agent
Th50007963,Apartment,2000,2022-06-06,3,8526,512,6 out of 10,Built Area,Area 277,Chandigarh,Semi-Furnished,Bachelors/Family,1,Contact Agent
Th50007964,Apartment,1997,2022-05-30,1,5498,1025,3 out of 14,Built Area,Area 827,Surat,Semi-Furnished,Bachelors,3,Contact Agent
Th50007965,Apartment,1997,2022-04-25,1,19640,1237,3 out of 13,Plot Area,Area 503,Faridabad,Semi-Furnished,Bachelors,1,Contact Agent
Th50007966,Apartment,2002,2022-05-21,3,20461,1130,7 out of 5,Carpet Area,Area 914,Vadodara,Semi-Furnished,Bachelors,1,Contact Agent
Th50007967,Apartment,1993,2022-05-03,2,21902,1364,1 out of 18,Carpet Area,Area 292,Mysore,Unfurnished,Bachelors/Family,2,Contact Owner
Th50007968,Apartment,2001,2022-04-15,3,20790,1064,10 out of 18,Built Area,Area 366,Visakhapatnam,Furnished,Family,1,Contact Agent
Th50007969,Apartment,2021,2022-06-26,1,11702,856,5 out of 10,Built Area,Area 250,Indore,Unfurnished,Bachelors,2,Contact Owner
Th50007970,Apartment,1990,2022-04-21,1,13803,912,8 out of 7,Built Area,Area 671,Indore,Unfurnished,Bachelors/Family,2,Contact Owner
Th50007971,Apartment,2010,2022-06-04,1,13551,1092,9 out of 15,Plot Area,Area 212,Kolkata,Semi-Furnished,Family,2,Contact Agent
Th50007972,Apartment,2012,2022-05-27,2,11618,657,6 out of 9,Built Area,Area 342,Surat,Furnished,Bachelors,2,Contact Owner
Th50007973,Apartment,2013,2022-05-05,2,17268,1372,3 out of 6,Built Area,Area 493,Gwalior,Semi-Furnished,Bachelors/Family,1,Contact Agent
Th50007974,Apartment,2006,2022-06-26,2,10492,740,8 out of 4,Built Area,Area 742,Mangalore,Furnished,Bachelors/Family,1,Contact Agent
Th50007975,Apartment,1997,2022-06-06,1,5638,601,3 out of 3,Super Area,Area 841,Jaipur,Furnished,Family,1,Contact Owner
Th50007976,Apartment,2015,2022-04-08,3,15337,768,9 out of 13,Built Area,Area 675,Nashik,Furnished,Family,1,Contact Owner
Th50007977,Apartment,2003,2022-06-13,2,3147,607,5 out of 12,Plot Area,Area 492,Ludhiana,Unfurnished,Bachelors/Family,2,Contact Owner
Th50007978,Apartment,2007,2022-04-19,3,12614,918,7 out of 4,Carpet Area,Area 736,Lucknow,Semi-Furnished,Bachelors,1,Contact Agent
Th50007979,Apartment,2014,2022-05-19,1,5045,635,7 out of 6,Plot Area,Area 144,Jaipur,Unfurnished,Bachelors,3,Contact Agent
Th50007980,Apartment,2015,2022-06-24,1,13383,765,9 out of 6,Built Area,Area 421,Lucknow,Semi-Furnished,Bachelors,1,Contact Owner
Th50007981,Apartment,2000,2022-07-01,1,14191,710,4 out of 9,Carpet Area,Area 748,Vadodara,Unfurnished,Bachelors/Family,2,Contact Owner
Th50007982,Apartment,1994,2022-06-21,1,5973,622,5 out of 4,Plot Area,Area 754,Coimbatore,Furnished,Family,2,Contact Owner
Th50007983,Apartment,1997,2022-07-04,1,19256,1352,4 out of 4,Super Area,Area 724,Kanpur,Semi-Furnished,Bachelors,1,Contact Owner
Th50007984,Apartment,2017,2022-07-04,2,10370,1274,7 out of 10,Plot Area,Area 647,Chennai,Furnished,Family,1,Contact Owner
Th50007985,Apartment,2017,2022-06-18,1,15723,1052,3 out of 5,Super Area,Area 615,Chandigarh,Furnished,Bachelors,1,Contact Agent
Th50007986,Apartment,2014,2022-06-09,3,11591,739,10 out of 17,Carpet Area,Area 210,Faridabad,Unfurnished,Family,2,Contact Owner
Th50007987,Apartment,1992,2022-04-22,2,13690,1181,2 out of 4,Super Area,Area 303,Jaipur,Furnished,Family,3,Contact Owner
Th50007988,Apartment,2009,2022-06-24,3,15171,1193,3 out of 14,Plot Area,Area 656,Rajkot,Furnished,Family,2,Contact Owner
Th50007989,Apartment,2010,2022-04-07,3,12704,904,10 out of 13,Carpet Area,Area 331,Thane,Furnished,Family,2,Contact Owner
Th50007990,Apartment,1996,2022-05-16,1,18201,976,6 out of 20,Carpet Area,Area 228,Vijayawada,Semi-Furnished,Family,3,Contact Owner
Th50007991,Apartment,1999,2022-04-06,3,15909,890,9 out of 16,Plot Area,Area 274,Noida,Furnished,Family,3,Contact Agent
Th50007992,Apartment,2003,2022-06-29,3,3279,520,8 out of 11,Plot Area,Area 415,Hyderabad,Semi-Furnished,Bachelors,1,Contact Owner
Th50007993,Apartment,2011,2022-05-14,1,13560,1042,2 out of 8,Built Area,Area 274,Mangalore,Furnished,Bachelors,2,Contact Agent
Th50007994,Apartment,2015,2022-06-06,3,12233,1067,7 out of 5,Super Area,Area 385,Jodhpur,Semi-Furnished,Family,3,Contact Agent
